"Region","States","Max.DemandMet during the day(MW)","Shortage duringmaximum Demand(MW)","Energy Met(MU)","DrawalSchedule(MU)","OD(+)/UD(-)(MU)","Max OD(MW)","EnergyShortage (MU)"
"NR","Punjab","5083","0","102.4","67.5","0.0","144","0.0"
"","Haryana","5918","0","115.1","87.0","0.9","135","0.0"
"","Rajasthan","12205","0","215.2","50.3","-1.6","261","0.0"
"","Delhi","3439","0","60.7","49.5","-1.2","160","0.1"
"","UP","13962","135","249.9","109.0","1.0","1322","0.0"
"","Uttarakhand","1770","0","34.0","12.5","-0.2","120","0.0"
"","HP","1550","0","24.7","17.9","-0.6","140","0.0"
"","J&K(UT) & Ladakh(UT)","2358","589","46.0","37.9","-0.4","337","9.3"
"","Chandigarh","202","0","3.2","3.3","-0.1","15","0.0"
"WR","Chhattisgarh","3860","0","89.1","36.8","-1.1","213","0.0"
"","Gujarat","16193","0","355.9","83.9","4.0","872","0.0"
"","MP","10454","0","203.4","104.8","-1.4","404","0.0"
"","Maharashtra","22771","0","479.6","171.1","-2.1","647","0.0"
"","Goa","507","0","10.9","10.6","-0.2","43","0.0"
"","DD","332","0","7.4","7.2","0.2","33","0.0"
"","DNH","803","0","19.0","19.0","0.0","48","0.0"
"","Essar steel","778","0","4.5","4.3","0.2","251","0.0"
"SR","Andhra Pradesh","10207","0","204.3","111.0","0.9","605","0.0"
"","Telangana","12548","0","256.2","147.8","0.1","856","0.0"
"","Karnataka","12890","0","256.0","85.5","-1.1","425","0.0"
"","Kerala","4182","0","84.7","63.4","1.4","217","0.0"
"","Tamil Nadu","15538","0","347.2","199.2","0.7","685","0.0"
"","Puducherry","399","0","8.3","8.6","-0.3","26","0.0"
"ER","Bihar","4153","0","73.4","68.9","0.7","340","0.0"
"","DVC","2998","0","63.5","-43.4","0.4","100","0.0"
"","Jharkhand","1281","0","24.4","15.7","-0.8","167","0.0"
"","Odisha","3988","0","80.3","5.0","0.2","236","0.0"
"","West Bengal","7288","0","142.1","38.6","0.8","310","0.0"
"","Sikkim","129","0","1.4","1.8","-0.3","46","0.0"
"NER","Arunachal Pradesh","121","1","2.2","2.2","-0.1","20","0.0"
"","Assam","1428","25","23.7","20.2","-0.3","79","0.4"
"","Manipur","189","1","2.9","2.5","0.5","28","0.0"
"","Meghalaya","317","0","5.4","3.9","0.1","70","0.1"
"","Mizoram","99","1","1.8","1.4","0.2","16","0.0"
"","Nagaland","123","2","2.2","2.1","0.1","7","0.0"
"","Tripura","244","1","3.8","3.0","-0.2","56","0.0"
