"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","6305","0","132.1","49.7","-1.3","41","0.0"
"","Haryana","6408","0","129.7","100.7","0.4","143","0.0"
"","Rajasthan","9631","0","205.6","42.9","-3.5","157","0.0"
"","Delhi","4218","0","85.6","70.0","-1.5","143","0.0"
"","UP","17010","0","336.7","146.3","0.3","437","1.2"
"","Uttarakhand","1777","0","37.8","13.9","0.6","104","0.0"
"","HP","1356","0","26.2","10.3","-0.1","71","0.0"
"","J&K","2239","560","45.2","31.8","-0.8","162","10.7"
"","Chandigarh","200","0","4.0","4.1","-0.1","12","0.0"
"WR","Chhattisgarh","4490","0","103.0","43.0","-3.1","162","0.0"
"","Gujarat","16616","0","379.8","109.4","4.6","704","0.0"
"","MP","9730","0","205.2","80.0","-0.9","556","0.0"
"","Maharashtra","21655","0","472.8","131.2","0.2","436","0.0"
"","Goa","479","0","12.0","11.3","0.2","140","0.3"
"","DD","323","0","7.4","6.9","0.5","73","0.0"
"","DNH","781","0","18.4","18.3","0.1","129","0.0"
"","Essar steel","626","0","14.1","14.6","-0.5","309","0.0"
"SR","Andhra Pradesh","8862","0","197.3","58.8","0.7","585","0.0"
"","Telangana","9888","0","212.5","85.5","0.0","520","0.0"
"","Karnataka","12514","0","242.8","74.4","-0.1","836","0.0"
"","Kerala","4047","0","83.9","60.5","1.4","237","0.0"
"","Tamil Nadu","15753","0","355.1","196.3","-0.6","411","0.0"
"","Pondy","407","0","8.7","8.8","-0.1","51","0.0"
"ER","Bihar","4750","0","85.4","81.0","-0.9","50","0.0"
"","DVC","3088","0","67.7","-52.0","1.2","400","0.0"
"","Jharkhand","1071","0","24.0","19.2","-0.8","150","0.0"
"","Odisha","5326","0","113.0","47.1","1.4","350","0.0"
"","West Bengal","8116","0","169.8","51.2","2.1","450","0.0"
"","Sikkim","100","0","1.4","1.5","-0.1","20","0.0"
"NER","Arunachal Pradesh","114","3","2.1","2.3","-0.2","5","0.0"
"","Assam","1393","61","21.7","18.0","0.0","101","1.5"
"","Manipur","173","2","2.3","2.3","0.0","34","0.1"
"","Meghalaya","340","19","5.4","3.4","0.2","61","0.4"
"","Mizoram","96","3","1.5","1.2","0.1","28","0.0"
"","Nagaland","125","2","2.0","1.8","0.1","7","0.0"
"","Tripura","258","6","3.6","1.6","-0.4","66","0.0"
