"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","5886","0","120.3","41.7","-0.3","117","0.0"
"","Haryana","6737","12","123.2","58.4","1.9","276","1.1"
"","Rajasthan","8536","1310","192.0","73.5","6.2","565","7.7"
"","Delhi","4437","0","91.8","73.0","-1.2","64","0.3"
"","UP","15434","20","310.9","106.0","2.8","892","0.0"
"","Uttarakhand","1847","0","35.5","20.3","1.1","214","0.3"
"","HP","1390","0","26.0","17.2","1.8","276","0.0"
"","J&K","2571","454","45.0","32.7","2.8","952","10.6"
"","Chandigarh","205","0","4.2","4.2","0.0","36","0.0"
"WR","Chhattisgarh","3778","0","86.4","17.2","-1.6","154","0.0"
"","Gujarat","15529","0","350.0","169.1","2.6","553","0.0"
"","MP","8692","0","191.2","93.4","-1.3","237","0.0"
"","Maharashtra","22323","0","491.6","151.3","-2.4","198","0.0"
"","Goa","520","0","11.8","11.2","0.0","47","0.0"
"","DD","318","0","7.3","6.8","0.6","81","0.0"
"","DNH","749","0","17.6","16.9","0.7","58","0.0"
"","Essar steel","221","0","3.9","3.7","0.2","150","0.0"
"SR","Andhra Pradesh","8790","0","184.6","65.2","-0.2","465","0.0"
"","Telangana","8295","0","181.6","71.1","-0.6","333","0.0"
"","Karnataka","10039","0","220.1","76.4","-0.5","312","0.0"
"","Kerala","3723","0","77.7","48.7","1.6","208","0.0"
"","Tamil Nadu","15279","0","346.8","175.0","1.4","394","0.0"
"","Pondy","383","0","7.9","8.1","-0.3","51","0.0"
"ER","Bihar","4544","0","78.1","80.8","-3.4","180","0.0"
"","DVC","3190","0","71.9","-56.1","-2.3","340","0.0"
"","Jharkhand","1055","0","22.9","16.0","1.3","165","0.0"
"","Odisha","4016","0","82.5","27.2","0.5","360","0.0"
"","West Bengal","7951","0","150.7","36.1","1.4","250","0.0"
"","Sikkim","100","0","1.4","1.6","-0.2","2","0.0"
"NER","Arunachal Pradesh","116","4","2.0","1.5","0.6","44","0.0"
"","Assam","1378","145","22.2","18.0","1.3","98","1.1"
"","Manipur","163","2","1.9","2.0","-0.2","24","0.0"
"","Meghalaya","248","0","4.3","2.5","-0.1","18","0.0"
"","Mizoram","84","1","1.5","1.0","0.2","20","0.0"
"","Nagaland","122","2","2.0","1.6","0.2","32","0.0"
"","Tripura","245","4","3.8","2.9","0.3","45","0.1"
