"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","5896","0","121.0","32.9","-0.1","119","0.0"
"","Haryana","6410","0","120.2","61.3","1.3","221","0.0"
"","Rajasthan","12075","0","228.0","60.7","-0.6","354","0.0"
"","Delhi","3637","0","61.6","46.7","0.1","205","0.0"
"","UP","13377","20","257.9","110.8","0.4","249","1.8"
"","Uttarakhand","1993","0","37.4","26.7","-0.2","83","0.0"
"","HP","1571","19","29.0","21.6","0.5","118","0.1"
"","J&K","2454","613","49.8","42.1","1.3","215","11.7"
"","Chandigarh","200","0","3.3","3.2","0.1","34","0.0"
"WR","Chhattisgarh","3585","0","76.1","13.6","-1.3","276","0.0"
"","Gujarat","14837","0","317.7","80.9","2.2","784","0.0"
"","MP","13353","0","250.3","132.6","-2.7","351","0.0"
"","Maharashtra","20288","0","412.4","91.6","0.4","481","0.0"
"","Goa","453","0","9.8","8.9","0.5","50","0.0"
"","DD","310","0","6.4","5.7","0.7","95","0.0"
"","DNH","728","0","16.9","15.9","1.0","140","0.0"
"","Essar steel","571","0","11.8","10.8","1.0","344","0.0"
"SR","Andhra Pradesh","7962","0","166.9","44.8","0.5","467","0.0"
"","Telangana","8194","0","171.8","99.5","0.8","415","0.0"
"","Karnataka","10640","0","203.5","56.8","-2.5","438","0.0"
"","Kerala","3596","0","70.4","60.0","0.8","187","0.0"
"","Tamil Nadu","14168","0","288.8","142.4","0.5","431","0.0"
"","Pondy","334","0","6.7","7.2","-0.4","24","0.0"
"ER","Bihar","3894","0","70.6","65.5","1.8","460","0.0"
"","DVC","3049","0","63.4","-18.6","0.1","396","0.0"
"","Jharkhand","1042","0","24.1","16.5","1.3","169","0.0"
"","Odisha","4140","0","75.9","24.6","2.4","267","0.0"
"","West Bengal","6365","0","116.2","22.2","-0.5","309","0.0"
"","Sikkim","99","0","1.5","1.4","0.1","18","0.0"
"NER","Arunachal Pradesh","128","8","2.3","2.0","0.3","1576","0.0"
"","Assam","1392","31","22.8","17.9","0.5","91","0.5"
"","Manipur","157","4","2.8","2.9","-0.1","21","0.0"
"","Meghalaya","348","14","6.0","5.1","-0.1","24","0.3"
"","Mizoram","93","6","1.5","1.1","-0.1","32","0.0"
"","Nagaland","131","7","2.0","1.9","-0.1","20","0.0"
"","Tripura","231","12","3.4","1.6","-0.1","72","0.0"
