"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","4492","0","92.4","35.9","-0.8","153","0.0"
"","Haryana","5921","0","129.7","69.8","-1.2","290","0.0"
"","Rajasthan","11612","0","226.4","62.5","-0.1","318","0.0"
"","Delhi","4013","0","68.7","63.4","-0.2","228","0.0"
"","UP","11152","0","221.2","84.4","-0.9","243","0.0"
"","Uttarakhand","2142","0","37.1","25.6","-0.2","157","0.0"
"","HP","1459","0","26.2","22.0","-1.5","65","0.3"
"","J&K","1521","380","29.2","33.3","-9.8","202","6.9"
"","Chandigarh","214","0","3.6","3.7","-0.1","17","0.0"
"WR","Chhattisgarh","3868","0","83.4","38.7","-0.6","530","0.4"
"","Gujarat","15026","0","320.1","62.8","2.5","809","0.0"
"","MP","11875","0","213.7","96.9","-0.9","659","0.0"
"","Maharashtra","20225","0","414.1","123.7","0.1","501","0.0"
"","Goa","498","0","12.3","11.5","0.2","38","0.0"
"","DD","325","0","7.3","7.4","-0.1","16","0.0"
"","DNH","790","0","18.5","18.3","0.2","43","0.0"
"","Essar steel","535","0","11.1","11.1","0.0","256","0.0"
"SR","Andhra Pradesh","8110","0","169.2","58.5","1.7","440","0.0"
"","Telangana","9019","0","187.4","77.1","0.2","491","0.0"
"","Karnataka","11563","0","223.3","84.3","0.7","482","0.0"
"","Kerala","3740","0","74.9","57.7","0.7","224","0.0"
"","Tamil Nadu","14566","0","311.4","166.7","-0.4","492","0.0"
"","Pondy","375","0","7.4","7.4","0.0","57","0.0"
"ER","Bihar","4095","0","73.4","70.0","-0.9","460","0.0"
"","DVC","3085","0","64.5","-47.1","0.7","396","0.0"
"","Jharkhand","1098","0","23.6","17.8","-0.5","169","0.0"
"","Odisha","4040","0","73.6","25.3","1.1","267","0.0"
"","West Bengal","6937","0","129.6","30.3","0.2","309","0.0"
"","Sikkim","100","0","1.4","1.6","-0.2","18","0.0"
"NER","Arunachal Pradesh","118","3","2.2","2.2","-0.1","51","0.0"
"","Assam","1429","26","23.9","19.3","0.4","106","0.3"
"","Manipur","173","2","2.9","2.8","0.1","39","0.0"
"","Meghalaya","355","0","6.2","5.3","-0.1","34","0.0"
"","Mizoram","102","1","2.0","1.6","0.2","11","0.0"
"","Nagaland","126","2","2.1","1.9","0.1","24","0.0"
"","Tripura","221","0","3.8","1.9","0.2","46","0.0"
