"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4860","349","102.0","46.6","1.3","243"
"","Haryana","4780","235","94.9","43.6","3.3","439"
"","Rajasthan","6222","0","138.2","48.6","-2.2","109"
"","Delhi","3592","0","76.5","57.2","-4.3","36"
"","UP","9511","2260","215.7","77.3","-0.2","422"
"","Uttarakhand","1366","0","29.8","18.2","-0.9","54"
"","HP","1217","0","24.5","12.4","0.9","117"
"","J&K","1432","100","30.7","17.6","1.0","210"
"","Chandigarh","207","0","4.1","3.9","0.1","34"
"WR","Chhattisgarh","2358","56","55.0","13.2","-4.6","366"
"","Gujarat","11192","22","230.9","32.8","-1.4","889"
"","MP","6136","0","122.0","59.3","-3.8","388"
"","Maharashtra","16379","85","357.5","120.7","1.2","547"
"","Goa","367","70","8.0","7.5","0.1","80"
"","DD","264","0","6.1","5.6","0.6","25"
"","DNH","598","0","13.8","13.9","-0.1","32"
"SR","Andhra Pradesh","10675","1750","238.0","73.7","2.5","251"
"","Karnataka","7842","600","169.5","27.3","1.2","257"
"","Kerala","2858","500","60.0","34.2","2.6","398"
"","Tamil Nadu","11641","565","236.0","75.7","2.1","392"
"","Pondy","320","0","6.8","8.1","-1.4","0"
"ER","Bihar","1547","600","32.0","32.6","-0.6","40"
"","DVC","2783","285","59.2","-20.7","4.7","580"
"","Jharkhand","1000","0","16.5","8.0","-3.4","20"
"","Odisha","3323","0","56.0","7.9","2.6","400"
"","West Bengal","6196","15","108.5","23.2","0.7","230"
"","Sikkim","46","0","0.6","1.5","-0.8","0"
"NER","Arunachal Pradesh","91","7","1.2","1.2","0.0","57"
"","Assam","956","164","14.8","9.8","1.1","125"
"","Manipur","74","24","1.2","1.1","0.2","36"
"","Meghalaya","229","34","3.8","3.1","-0.1","47"
"","Mizoram","51","6","1.1","0.9","0.2","18"
"","Nagaland","74","1","1.1","1.1","-0.1","19"
"","Tripura","189","14","2.8","0.8","-0.1","30"
