"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","6863","0","140.9","92.8","-1.2","127"
"","Haryana","7111","0","140.3","104.3","0.2","237"
"","Rajasthan","8315","1084","181.8","64.7","1.5","391"
"","Delhi","4553","0","95.5","77.6","-0.6","206"
"","UP","16233","0","332.6","139.6","0.0","105"
"","Uttarakhand","1696","0","37.9","18.1","-0.5","94"
"","HP","1243","0","25.5","10.8","1.3","203"
"","J&K","1924","481","36.9","19.6","0.1","215"
"","Chandigarh","246","0","5.0","5.2","-0.2","28"
"WR","Chhattisgarh","3918","0","92.3","28.6","-2.0","85"
"","Gujarat","15250","0","335.2","72.0","0.4","338"
"","MP","7892","0","175.0","98.9","-1.5","413"
"","Maharashtra","20149","615","460.2","137.6","2.9","874"
"","Goa","465","0","9.1","8.6","0.0","126"
"","DD","318","0","7.1","6.9","0.2","24"
"","DNH","763","0","17.3","16.4","1.0","49"
"","Essar steel","451","0","8.7","7.9","0.8","202"
"SR","Andhra Pradesh","7616","0","160.4","31.3","1.0","532"
"","Telangana","7061","0","145.3","61.2","-4.8","336"
"","Karnataka","9463","0","192.6","78.6","3.3","433"
"","Kerala","3531","0","74.6","60.1","1.1","238"
"","Tamil Nadu","14580","0","333.8","184.3","1.7","611"
"","Pondy","361","0","8.0","8.3","-0.3","31"
"ER","Bihar","4011","100","75.7","69.8","-1.1","185"
"","DVC","2977","0","66.9","-47.5","-2.7","238"
"","Jharkhand","1247","0","25.2","17.7","1.2","208"
"","Odisha","4084","0","84.9","26.1","1.0","334"
"","West Bengal","8125","0","160.2","43.6","1.7","335"
"","Sikkim","62","0","1.0","0.7","0.3","17"
"NER","Arunachal Pradesh","128","1","1.6","1.6","0.0","30"
"","Assam","1276","129","18.2","13.3","0.7","181"
"","Manipur","151","1","2.3","2.1","0.3","16"
"","Meghalaya","266","0","3.9","1.8","-0.5","66"
"","Mizoram","68","2","1.4","1.2","0.2","20"
"","Nagaland","124","1","1.6","1.8","-0.4","35"
"","Tripura","225","3","3.1","2.6","-0.4","63"
