"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4653","0","97.9","54.0","0.6","145"
"","Haryana","5002","0","102.1","55.5","-1.3","163"
"","Rajasthan","6795","0","144.3","37.6","-1.0","195"
"","Delhi","3535","0","73.7","55.0","0.3","206"
"","UP","11282","2195","251.9","108.8","1.1","349"
"","Uttarakhand","1547","145","31.9","21.5","1.5","177"
"","HP","1233","0","24.2","11.5","1.1","125"
"","J&K","1524","100","29.8","18.4","-2.3","66"
"","Chandigarh","197","0","3.8","3.3","0.5","44"
"WR","Chhattisgarh","3389","55","80.6","24.0","-1.6","197"
"","Gujarat","12469","17","275.1","61.6","-0.3","420"
"","MP","6397","11","142.7","76.6","-2.5","443"
"","Maharashtra","18517","117","400.8","123.5","1.2","573"
"","Goa","423","1","9.3","8.2","0.8","71"
"","DD","265","0","5.8","5.8","0.0","24"
"","DNH","663","1","15.4","15.3","0.1","21"
"","Essar steel","370","1","7.2","7.3","-0.1","53"
"SR","Andhra Pradesh","11213","1000","262.4","89.4","4.9","457"
"","Karnataka","8806","450","191.4","32.9","0.7","256"
"","Kerala","3385","150","66.6","25.2","1.1","261"
"","Tamil Nadu","12344","1466","280.9","96.0","1.5","355"
"","Pondy","340","0","7.2","7.2","0.0","23"
"ER","Bihar","2480","0","47.3","45.7","-1.9","365"
"","DVC","2547","0","58.3","-18.3","-1.0","275"
"","Jharkhand","970","0","20.8","12.6","0.7","145"
"","Odisha","3698","0","73.3","22.2","1.0","320"
"","West Bengal","7377","55","151.6","50.3","1.6","378"
"","Sikkim","104","0","1.6","1.5","0.1","40"
"NER","Arunachal Pradesh","103","3","1.5","1.1","0.5","48"
"","Assam","1180","156","21.6","13.0","4.2","377"
"","Manipur","101","1","1.6","1.3","0.3","32"
"","Meghalaya","235","10","3.9","2.8","0.5","67"
"","Mizoram","73","1","1.2","0.9","0.0","16"
"","Nagaland","92","3","1.6","1.4","-0.1","35"
"","Tripura","241","1","3.1","1.0","-0.2","75"
