"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","5577","0","108.1","33.3","-0.1","126","0.0"
"","Haryana","6735","0","123.5","60.2","0.3","237","0.0"
"","Rajasthan","12620","0","239.9","60.1","-1.5","459","0.0"
"","Delhi","4212","0","71.0","54.0","0.6","279","0.0"
"","UP","13918","0","274.4","98.4","-0.2","396","1.8"
"","Uttarakhand","2039","0","38.4","23.0","-0.3","78","0.0"
"","HP","1668","0","29.9","24.9","-0.3","143","0.0"
"","J&K","2379","595","45.8","44.8","-4.8","60","10.8"
"","Chandigarh","204","0","3.6","3.8","-0.2","24","0.0"
"WR","Chhattisgarh","3739","0","79.1","27.3","-0.1","597","0.6"
"","Gujarat","15368","0","320.3","77.9","1.8","716","0.0"
"","MP","13313","0","253.2","140.7","-1.9","535","0.0"
"","Maharashtra","20338","0","409.0","96.4","-2.7","567","0.0"
"","Goa","473","0","8.8","8.7","0.0","49","0.0"
"","DD","283","0","6.5","6.2","0.3","57","0.0"
"","DNH","749","0","17.3","17.4","-0.1","51","0.0"
"","Essar steel","513","0","10.2","10.8","-0.6","264","0.0"
"SR","Andhra Pradesh","8016","0","163.5","66.8","0.5","484","0.0"
"","Telangana","9155","0","179.9","72.0","-0.3","382","0.0"
"","Karnataka","11137","0","207.6","69.0","0.1","503","0.0"
"","Kerala","3389","0","63.2","50.3","0.0","145","0.0"
"","Tamil Nadu","14114","0","285.0","131.6","1.0","498","0.0"
"","Pondy","386","0","7.5","7.8","-0.2","58","0.0"
"ER","Bihar","3973","0","71.7","70.6","-2.4","460","0.0"
"","DVC","3081","0","65.4","-30.6","0.0","396","0.0"
"","Jharkhand","1121","106","23.0","17.4","0.1","169","0.3"
"","Odisha","4524","0","71.6","23.2","0.5","267","0.0"
"","West Bengal","5878","0","117.9","31.7","0.5","309","0.0"
"","Sikkim","90","0","1.3","1.9","-0.6","18","0.0"
"NER","Arunachal Pradesh","100","2","2.0","1.6","0.4","39","0.0"
"","Assam","1380","28","23.0","17.7","0.6","78","0.3"
"","Manipur","191","3","2.8","3.0","-0.2","32","0.0"
"","Meghalaya","353","0","6.4","5.0","0.0","187","0.0"
"","Mizoram","94","1","1.7","1.4","0.2","27","0.0"
"","Nagaland","109","3","2.0","1.8","0.1","26","0.0"
"","Tripura","213","3","3.5","1.4","0.3","53","0.0"
