"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","5711","0","110.8","50.5","-2.0","12","0.0"
"","Haryana","6050","125","121.0","88.7","0.5","216","0.3"
"","Rajasthan","12552","231","229.9","71.3","2.3","459","0.0"
"","Delhi","3722","0","65.4","53.6","-0.5","203","0.0"
"","UP","14011","0","253.4","95.4","-0.3","875","1.2"
"","Uttarakhand","1975","0","36.4","20.3","0.3","119","0.3"
"","HP","1661","4","30.3","22.4","0.5","234","0.5"
"","J&K(UT) and Ladakh(UT)","2510","628","46.9","39.5","2.1","201","11.0"
"","Chandigarh","226","0","3.7","3.4","0.3","61","0.0"
"WR","Chhattisgarh","3500","0","76.2","12.5","1.4","307","0.0"
"","Gujarat","15264","0","332.2","99.3","1.7","543","0.0"
"","MP","13878","0","257.5","143.9","-3.4","419","0.0"
"","Maharashtra","21904","0","455.5","139.8","-7.1","467","0.0"
"","Goa","541","0","12.8","11.7","0.5","56","0.0"
"","DD","335","0","7.5","6.9","0.6","49","0.0"
"","DNH","821","0","19.0","19.1","-0.1","41","0.0"
"","Essar steel","336","0","5.6","5.7","-0.1","295","0.0"
"SR","Andhra Pradesh","7735","0","163.0","74.3","-1.0","294","0.2"
"","Telangana","9451","0","192.7","90.2","0.3","356","0.2"
"","Karnataka","10566","0","196.1","48.7","-0.7","538","0.2"
"","Kerala","3583","0","72.5","57.2","0.8","267","0.1"
"","Tamil Nadu","13607","0","278.4","170.3","1.7","653","0.3"
"","Pondy","360","0","7.1","7.5","-0.5","20","0.0"
"ER","Bihar","4067","0","67.9","66.6","-1.2","250","0.0"
"","DVC","3057","0","62.3","-36.9","-0.9","200","0.0"
"","Jharkhand","1133","0","24.8","17.0","-0.8","31","0.0"
"","Odisha","4043","0","76.5","15.8","-1.4","300","0.0"
"","West Bengal","6374","0","113.5","24.7","-0.7","350","0.0"
"","Sikkim","107","0","1.8","1.8","0.0","30","0.0"
"NER","Arunachal Pradesh","118","2","2.3","1.9","0.2","75","0.0"
"","Assam","1298","32","21.1","16.3","0.1","89","0.2"
"","Manipur","181","1","2.6","2.7","-0.2","36","0.0"
"","Meghalaya","362","0","6.3","2.6","0.4","58","0.0"
"","Mizoram","98","3","1.7","0.8","0.3","25","0.0"
"","Nagaland","124","2","2.2","2.3","-0.3","18","0.0"
"","Tripura","212","2","3.4","1.5","-0.4","31","0.0"
