"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","6621","0","144.5","98.4","0.2","178"
"","Haryana","5853","0","129.3","73.9","-2.7","255"
"","Rajasthan","7258","0","157.7","51.6","-8.4","0"
"","Delhi","4384","4","92.6","65.9","-2.7","154"
"","UP","11747","1100","255.9","104.6","-2.7","203"
"","Uttarakhand","1599","0","34.2","18.9","-1.1","74"
"","HP","1103","0","22.7","6.6","-4.1","2"
"","J&K","1484","100","29.5","20.5","-4.3","53"
"","Chandigarh","243","0","4.9","4.6","0.2","41"
"WR","Chhattisgarh","2885","56","66.2","20.4","-3.2","165"
"","Gujarat","111539","18","253.7","56.3","1.7","1127"
"","MP","6732","0","135.6","77.9","-2.1","266"
"","Maharashtra","15613","330","360.4","121.5","1.7","949"
"","Goa","357","0","7.0","7.1","-0.6","0"
"","DD","231","0","5.6","6.2","-0.5","12"
"","DNH","562","0","13.3","13.3","-0.1","50"
"SR","Andhra Pradesh","10457","1800","240.1","85.1","2.2","390"
"","Karnataka","7068","500","146.3","26.0","0.7","209"
"","Kerala","2900","450","56.8","41.9","2.2","304"
"","Tamil Nadu","11004","876","239.6","61.3","3.6","427"
"","Pondy","277","0","6.1","7.2","-1.2","1"
"ER","Bihar","1810","300","35.1","35.7","-0.6","230"
"","DVC","2443","0","55.0","-27.6","-1.8","380"
"","Jharkhand","974","0","20.2","10.0","-0.4","140"
"","Odisha","3488","0","69.4","6.7","3.9","400"
"","West Bengal","5095","0","106.9","22.1","0.9","260"
"","Sikkim","82","0","0.3","0.6","-0.3","0"
"NER","Arunachal Pradesh","91","9","1.4","1.4","0.0","39"
"","Assam","1005","121","16.8","12.2","-1.0","132"
"","Manipur","94","6","1.4","1.7","-0.3","15"
"","Meghalaya","246","1","4.2","0.8","0.3","73"
"","Mizoram","54","6","1.0","1.0","0.0","15"
"","Nagaland","83","8","1.5","1.1","0.0","18"
"","Tripura","206","1","2.5","1.2","-0.3","59"
