"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","8675","0","183.0","130.4","0.4","249","0.0"
"","Haryana","6916","48","133.2","117.6","0.2","195","0.0"
"","Rajasthan","7523","0","153.6","72.7","2.8","442","0.0"
"","Delhi","4831","0","97.4","80.8","1.0","219","0.0"
"","UP","16170","190","336.6","160.0","0.5","415","0.0"
"","Uttarakhand","1728","0","35.7","12.5","-0.1","110","0.0"
"","HP","1151","0","24.3","-4.0","3.4","294","0.0"
"","J&K","1944","486","38.7","14.6","-1.9","36","9.2"
"","Chandigarh","263","0","5.3","5.7","-0.4","10","0.0"
"WR","Chhattisgarh","2969","0","70.5","6.1","-0.6","114","0.0"
"","Gujarat","10021","0","226.4","46.6","-0.2","488","0.0"
"","MP","6616","0","143.4","86.7","0.2","378","0.0"
"","Maharashtra","16572","0","370.9","97.0","6.0","684","0.0"
"","Goa","398","0","8.4","7.7","0.1","101","0.0"
"","DD","263","0","6.0","6.0","0.0","12","0.0"
"","DNH","664","0","15.2","15.5","-0.3","3","0.0"
"","Essar steel","513","0","9.0","8.8","0.2","189","0.0"
"SR","Andhra Pradesh","6586","0","145.7","30.0","3.8","534","0.0"
"","Telangana","6285","0","138.4","71.0","-2.0","388","0.0"
"","Karnataka","7440","0","166.5","61.9","4.5","527","0.0"
"","Kerala","2954","0","60.9","46.6","1.5","229","0.0"
"","Tamil Nadu","13854","0","305.5","121.7","1.4","590","0.0"
"","Pondy","347","0","7.5","7.9","-0.4","18","0.0"
"ER","Bihar","3636","0","69.5","70.5","-2.7","250","0.0"
"","DVC","2733","0","62.5","-30.0","-0.5","210","0.0"
"","Jharkhand","1027","0","23.1","19.2","0.3","110","0.0"
"","Odisha","3713","0","76.1","23.3","1.8","300","0.0"
"","West Bengal","7465","0","157.4","52.9","6.5","375","0.0"
"","Sikkim","63","0","1.0","1.4","-0.4","12","0.0"
"NER","Arunachal Pradesh","127","0","2.0","2.9","-0.9","6","0.0"
"","Assam","1582","100","28.5","22.9","1.6","116","1.5"
"","Manipur","126","2","2.3","2.3","0.0","7","0.0"
"","Meghalaya","237","0","4.1","0.4","-0.7","35","0.0"
"","Mizoram","78","2","1.3","1.1","0.1","23","0.0"
"","Nagaland","111","1","2.1","2.2","-0.2","18","0.0"
"","Tripura","242","2","4.2","2.9","-0.1","23","0.1"
