"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","5256","0","96.1","48.8","-1.5","82","0.0"
"","Haryana","6348","0","120.7","79.8","1.3","243","0.0"
"","Rajasthan","12415","0","226.5","79.4","0.4","517","0.0"
"","Delhi","4392","0","74.9","58.0","-0.2","304","0.0"
"","UP","16534","0","296.5","107.2","0.1","608","0.2"
"","Uttarakhand","2132","0","39.3","23.3","-0.4","115","0.0"
"","HP","1695","0","28.4","23.1","-1.4","119","0.0"
"","J&K(UT) and Ladakh(UT)","2031","358","33.6","34.8","-6.5","143","7.8"
"","Chandigarh","270","0","4.6","4.7","-0.2","18","0.0"
"WR","Chhattisgarh","3620","0","77.0","24.0","-1.5","473","0.0"
"","Gujarat","15622","0","324.1","102.6","2.1","588","0.0"
"","MP","13916","0","245.5","126.2","-3.1","696","0.0"
"","Maharashtra","22084","0","445.4","147.4","-0.7","563","0.0"
"","Goa","613","0","9.4","9.9","-0.5","39","0.0"
"","DD","328","0","7.2","6.6","0.6","50","0.0"
"","DNH","805","0","18.9","18.8","0.1","68","0.0"
"","Essar steel","283","0","5.6","5.7","-0.1","255","0.0"
"SR","Andhra Pradesh","8832","0","170.4","66.9","-0.8","449","0.0"
"","Telangana","10664","0","211.0","102.1","0.0","525","0.0"
"","Karnataka","12343","0","222.7","64.7","0.3","605","0.0"
"","Kerala","3562","0","69.3","54.0","1.6","212","0.0"
"","Tamil Nadu","14329","0","294.7","164.2","1.1","571","0.0"
"","Pondy","356","0","7.1","7.4","-0.4","38","0.0"
"ER","Bihar","4597","0","83.8","80.7","1.1","300","0.0"
"","DVC","3120","0","63.9","-31.5","-0.6","200","0.0"
"","Jharkhand","1209","0","24.6","15.4","0.2","100","0.0"
"","Odisha","3736","0","66.2","4.4","0.3","300","0.0"
"","West Bengal","6167","0","110.9","19.9","0.4","300","0.0"
"","Sikkim","136","0","2.1","1.8","0.3","35","0.0"
"NER","Arunachal Pradesh","120","2","2.2","1.9","0.1","56","0.0"
"","Assam","1352","12","23.1","19.7","0.4","82","0.4"
"","Manipur","213","3","2.7","3.1","-0.5","31","0.0"
"","Meghalaya","394","0","5.9","3.3","0.7","90","1.1"
"","Mizoram","102","2","1.6","1.5","-0.2","35","0.0"
"","Nagaland","127","2","2.2","2.2","-0.1","20","0.0"
"","Tripura","229","0","3.5","2.3","-0.1","47","0.0"
