"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","5136","138","97.1","43.0","0.2","93"
"","Haryana","5128","0","93.4","51.7","0.2","348"
"","Rajasthan","9151","0","184.6","70.9","-0.7","155"
"","Delhi","3295","52","59.2","39.8","0.2","341"
"","UP","9925","1465","209.9","90.5","-3.8","180"
"","Uttarakhand","1714","40","32.8","21.8","1.7","147"
"","HP","1274","0","24.3","18.6","0.8","104"
"","J&K","1690","100","36.8","30.3","0.6","140"
"","Chandigarh","195","0","3.4","3.2","0.2","21"
"WR","Chhattisgarh","3095","49","67.4","12.4","2.3","340"
"","Gujarat","11187","0","250.0","54.1","-0.8","350"
"","MP","6394","0","128.0","60.6","-1.2","407"
"","Maharashtra","15558","88","336.7","93.3","1.1","469"
"","Goa","398","0","8.2","6.8","0.7","72"
"","DD","239","0","6.0","5.5","0.5","55"
"","DNH","623","0","14.7","14.3","0.5","59"
"","Essar steel","464","0","9.7","10.2","-0.5","38"
"SR","Andhra Pradesh","11382","0","256.8","89.2","5.1","381"
"","Karnataka","8445","400","175.2","22.8","0.2","253"
"","Kerala","3399","150","64.7","31.1","1.8","224"
"","Tamil Nadu","11779","756","261.7","89.3","1.8","449"
"","Pondy","302","0","6.2","6.3","-0.1","33"
"ER","Bihar","2061","450","40.3","38.7","-0.9","160"
"","DVC","2489","0","54.4","-16.2","-2.4","250"
"","Jharkhand","908","0","20.4","10.5","-0.1","130"
"","Odisha","3720","0","67.2","9.1","1.9","280"
"","West Bengal","6490","12","114.9","21.6","3.1","300"
"","Sikkim","95","0","1.4","1.4","0.0","15"
"NER","Arunachal Pradesh","122","2","1.5","1.3","0.2","68"
"","Assam","1036","132","19.2","13.0","2.2","139"
"","Manipur","120","7","1.5","1.5","0.0","45"
"","Meghalaya","275","6","4.2","3.2","0.1","55"
"","Mizoram","70","2","1.0","0.9","-0.1","22"
"","Nagaland","98","1","1.4","1.5","-0.3","21"
"","Tripura","203","1","2.9","0.2","0.1","43"
