"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","5227","0","103.8","49.6","-1.5","84"
"","Haryana","4716","0","89.6","48.0","-0.5","208"
"","Rajasthan","9283","0","187.1","71.3","-0.8","115"
"","Delhi","3005","0","52.9","36.1","-1.9","131"
"","UP","9664","1275","216.5","83.8","-5.4","123"
"","Uttarakhand","1619","0","29.7","21.2","0.1","153"
"","HP","1215","0","23.3","17.5","0.4","140"
"","J&K","1622","100","35.4","29.7","-0.1","227"
"","Chandigarh","171","0","3.0","3.1","-0.1","16"
"WR","Chhattisgarh","3058","56","67.0","17.0","0.0","226"
"","Gujarat","10800","21","242.6","68.4","2.3","607"
"","MP","6533","15","130.1","64.2","-0.2","486"
"","Maharashtra","14480","39","311.4","83.7","-0.5","469"
"","Goa","375","1","7.6","6.8","0.2","49"
"","DD","258","1","6.2","5.9","0.3","20"
"","DNH","604","1","14.4","14.1","0.3","25"
"","Essar steel","477","1","10.3","12.0","-1.7","37"
"SR","Andhra Pradesh","10843","500","252.9","86.4","3.2","361"
"","Karnataka","7256","300","151.1","16.6","-1.2","258"
"","Kerala","3195","2","59.6","30.0","1.9","329"
"","Tamil Nadu","11363","703","257.8","85.4","0.1","320"
"","Pondy","273","0","5.8","6.0","-0.3","31"
"ER","Bihar","2068","250","42.4","38.0","2.0","180"
"","DVC","2540","0","51.7","-15.5","-1.3","200"
"","Jharkhand","969","0","20.0","10.9","-0.9","100"
"","Odisha","3444","0","64.0","11.3","-0.8","220"
"","West Bengal","6265","13","109.7","19.6","2.2","350"
"","Sikkim","91","0","1.2","1.5","-0.3","21"
"NER","Arunachal Pradesh","108","2","1.5","1.2","0.3","58"
"","Assam","1056","91","17.5","12.4","2.3","164"
"","Manipur","113","7","1.5","1.4","0.1","48"
"","Meghalaya","227","33","4.1","3.3","0.2","62"
"","Mizoram","69","1","1.0","0.9","-0.1","30"
"","Nagaland","81","4","1.5","1.4","-0.2","28"
"","Tripura","200","2","2.7","0.2","0.1","35"
