"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4747","0","85.5","42.8","1.0","175"
"","Haryana","6040","0","111.2","48.3","-0.3","436"
"","Rajasthan","10068","0","208.4","66.5","5.2","544"
"","Delhi","3699","0","60.0","45.7","-0.3","249"
"","UP","9648","3455","228.0","93.3","0.7","432"
"","Uttarakhand","1804","80","34.1","25.0","2.1","174"
"","HP","1380","0","25.6","20.6","0.4","107"
"","J&K","1961","346","42.2","36.7","1.5","224"
"","Chandigarh","217","0","3.8","3.7","0.3","17"
"WR","Chhattisgarh","3212","96","73.7","24.5","0.4","252"
"","Gujarat","11916","0","260.3","49.7","-0.2","453"
"","MP","8891","0","168.8","93.2","-1.3","254"
"","Maharashtra","18225","573","378.3","115.8","-0.8","976"
"","Goa","436","0","7.7","7.4","-0.4","48"
"","DD","275","0","6.2","6.1","0.1","22"
"","DNH","671","0","15.5","15.6","0.8","23"
"","Essar steel","413","0","8.7","7.9","0.8","125"
"SR","Andhra Pradesh","6097","0","139.2","33.1","2.7","448"
"","Telangana","6015","0","133.2","74.1","3.9","465"
"","Karnataka","9333","300","190.6","31.4","2.6","353"
"","Kerala","3399","125","63.1","44.2","2.4","267"
"","Tamil Nadu","12384","797","265.1","100.2","1.4","366"
"","Pondy","310","0","6.0","6.1","-0.1","29"
"ER","Bihar","2570","0","53.2","51.5","-3.1","80"
"","DVC","2415","0","55.3","-10.0","1.4","300"
"","Jharkhand","1016","0","22.1","10.2","-0.7","90"
"","Odisha","3618","0","66.7","20.9","3.0","580"
"","West Bengal","6143","0","111.2","17.1","2.2","230"
"","Sikkim","118","0","1.5","1.2","0.3","25"
"NER","Arunachal Pradesh","105","5","2.1","1.4","0.7","43"
"","Assam","1096","188","20.5","14.0","1.7","145"
"","Manipur","130","6","2.0","2.3","-0.3","53"
"","Meghalaya","335","0","5.4","5.4","-0.9","18"
"","Mizoram","87","3","1.2","1.0","0.1","25"
"","Nagaland","120","4","2.4","1.6","0.7","29"
"","Tripura","200","0","2.6","0.6","-0.1","45"
