"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","8911","0","204.2","125.1","-0.1","106"
"","Haryana","6914","0","147.2","128.1","-2.3","87"
"","Rajasthan","7710","0","167.0","64.0","0.8","239"
"","Delhi","4883","0","99.2","90.0","-1.8","104"
"","UP","11921","3705","269.8","149.1","0.0","383"
"","Uttarakhand","1834","0","37.9","12.8","2.0","197"
"","HP","1259","0","26.3","0.7","1.1","191"
"","J&K","1830","457","35.7","21.0","-0.3","224"
"","Chandigarh","314","0","6.1","6.5","-0.8","3"
"WR","Chhattisgarh","3355","297","77.1","31.5","3.8","382"
"","Gujarat","12188","0","272.5","69.9","-1.2","761"
"","MP","6147","0","130.0","64.7","-2.7","426"
"","Maharashtra","18915","26","395.2","114.0","-0.4","394"
"","Goa","409","0","8.7","6.8","1.3","65"
"","DD","298","0","6.6","6.3","0.3","41"
"","DNH","688","0","16.0","16.0","-0.1","20"
"","Essar steel","295","0","5.7","5.5","0.1","117"
"SR","Andhra Pradesh","6500","0","141.7","33.0","0.2","669"
"","Telangana","6332","0","142.9","96.8","0.1","214"
"","Karnataka","7037","1000","154.5","18.2","7.1","1038"
"","Kerala","3069","0","61.3","31.3","1.9","232"
"","Tamil Nadu","12929","652","277.0","107.4","4.0","610"
"","Pondy","336","0","6.7","6.9","-0.2","21"
"ER","Bihar","2846","0","60.1","59.9","-1.5","30"
"","DVC","2434","0","56.8","-16.3","-1.2","100"
"","Jharkhand","1155","0","22.6","14.5","-0.4","80"
"","Odisha","3624","0","70.7","21.0","1.2","245"
"","West Bengal","7546","0","139.3","48.1","0.5","158"
"","Sikkim","87","0","1.2","0.9","0.3","49"
"NER","Arunachal Pradesh","94","3","1.4","2.1","-0.7","6"
"","Assam","1290","121","23.7","18.3","0.4","244"
"","Manipur","142","1","2.4","2.5","-0.1","28"
"","Meghalaya","272","3","4.1","0.4","-0.8","59"
"","Mizoram","75","4","1.2","1.4","-0.3","12"
"","Nagaland","100","7","1.8","1.8","-0.1","19"
"","Tripura","214","1","3.6","1.6","-0.1","49"
