"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4955","0","83.5","38.1","2.9","285"
"","Haryana","5371","21","108.1","35.9","4.3","458"
"","Rajasthan","9515","0","193.4","82.0","-2.9","315"
"","Delhi","3408","0","59.5","41.6","-1.3","234"
"","UP","9727","470","210.8","79.6","-0.7","584"
"","Uttarakhand","1631","75","30.2","19.8","0.2","112"
"","HP","1308","0","24.2","19.2","0.6","98"
"","J&K","1950","100","40.9","31.5","2.8","297"
"","Chandigarh","193","0","3.2","3.1","0.1","32"
"WR","Chhattisgarh","2916","13","64.7","16.4","-3.8","137"
"","Gujarat","11086","-32","231.5","43.7","-0.3","616"
"","MP","9206","22","206.1","112.9","-2.0","515"
"","Maharashtra","16888","201","349.6","107.3","-2.3","637"
"","Goa","317","1","7.0","9.1","-2.9","27"
"","DD","240","1","5.8","6.9","-1.2","0"
"","DNH","627","2","15.0","11.7","3.3","40"
"","Essar steel","375","1","7.6","7.2","0.4","16"
"SR","Andhra Pradesh","10731","300","249.2","85.1","3.3","320"
"","Karnataka","8243","300","166.3","26.6","1.5","221"
"","Kerala","3020","75","52.2","25.2","1.8","198"
"","Tamil Nadu","11347","654","240.2","80.4","-1.0","466"
"","Pondy","268","0","5.4","6.0","-0.7","8"
"ER","Bihar","2169","0","39.9","37.1","1.7","210"
"","DVC","2518","0","58.2","-12.3","2.0","240"
"","Jharkhand","1011","0","20.8","11.0","-0.5","140"
"","Odisha","3369","0","69.7","12.1","1.1","400"
"","West Bengal","5620","0","104.7","11.2","4.4","430"
"","Sikkim","96","0","2.0","1.5","0.6","16"
"NER","Arunachal Pradesh","113","12","1.8","1.3","0.5","41"
"","Assam","1020","88","19.1","11.3","3.2","324"
"","Manipur","120","1","1.5","1.5","0.0","52"
"","Meghalaya","300","1","5.0","3.1","0.4","91"
"","Mizoram","65","4","1.3","1.0","0.0","28"
"","Nagaland","99","2","1.6","1.3","0.1","31"
"","Tripura","186","3","2.7","0.0","0.4","74"
