"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","9459","0","197.7","125.6","-1.8","267","0.0"
"","Haryana","8256","0","179.5","142.8","0.1","151","0.0"
"","Rajasthan","9945","0","222.0","89.6","0.2","439","0.0"
"","Delhi","4682","0","100.9","84.7","-1.4","110","0.0"
"","UP","14497","0","276.3","125.7","-0.5","447","1.0"
"","Uttarakhand","1754","0","38.8","17.2","-0.9","64","0.0"
"","HP","1390","0","28.7","8.5","-1.2","107","0.0"
"","J&K","2122","531","39.5","19.5","-2.9","201","9.4"
"","Chandigarh","228","0","4.7","5.6","-0.9","19","0.0"
"WR","Chhattisgarh","3634","0","81.3","34.3","0.8","432","0.0"
"","Gujarat","13189","0","289.4","90.4","5.4","686","0.0"
"","MP","7664","0","162.4","81.7","-3.4","519","0.0"
"","Maharashtra","17875","0","379.7","155.5","-0.6","526","0.0"
"","Goa","541","0","11.9","11.3","0.0","103","0.0"
"","DD","334","0","7.5","7.0","0.5","169","0.0"
"","DNH","782","0","18.4","18.5","-0.1","129","0.0"
"","Essar steel","427","0","7.6","7.0","0.6","322","0.0"
"SR","Andhra Pradesh","7045","0","149.7","56.9","3.8","786","0.0"
"","Telangana","7166","0","148.7","31.9","-2.2","503","0.0"
"","Karnataka","8240","0","164.7","45.4","1.7","787","0.0"
"","Kerala","3567","0","70.2","47.7","1.1","186","0.0"
"","Tamil Nadu","13422","0","293.5","142.6","0.1","494","0.0"
"","Pondy","381","0","7.7","7.8","-0.2","41","0.0"
"ER","Bihar","3998","0","70.4","72.2","-2.0","70","0.0"
"","DVC","2798","0","59.1","-21.0","-0.2","310","0.0"
"","Jharkhand","1223","0","22.1","14.1","-1.0","115","0.0"
"","Odisha","4394","0","84.1","16.1","9.8","608","0.3"
"","West Bengal","7730","0","140.9","50.4","0.3","20","0.0"
"","Sikkim","94","0","1.0","1.2","-0.2","255","0.0"
"NER","Arunachal Pradesh","120","3","1.9","2.1","-0.2","37","0.0"
"","Assam","1686","68","29.6","23.4","0.4","156","1.0"
"","Manipur","165","4","2.3","2.3","0.0","21","0.0"
"","Meghalaya","358","0","6.1","1.0","-0.1","63","0.0"
"","Mizoram","89","1","1.7","0.5","0.9","17","0.0"
"","Nagaland","122","2","2.1","2.3","-0.4","31","0.0"
"","Tripura","271","4","4.4","4.8","-0.9","23","0.0"
