"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","8294","0","175.9","103.8","-0.9","209","0.0"
"","Haryana","7882","68","161.4","107.7","0.7","275","0.1"
"","Rajasthan","7569","0","161.9","48.0","1.2","384","0.6"
"","Delhi","4900","0","103.4","80.0","-0.8","165","0.0"
"","UP","16621","700","352.4","164.1","0.5","361","0.0"
"","Uttarakhand","1903","0","37.0","21.8","0.9","242","1.6"
"","HP","1060","0","24.2","-1.5","6.3","588","2.4"
"","J&K","1869","467","29.2","7.9","-0.4","207","8.0"
"","Chandigarh","285","0","5.6","6.2","-0.7","19","0.0"
"WR","Chhattisgarh","3841","0","88.2","28.1","2.2","275","0.0"
"","Gujarat","10910","0","245.0","45.5","0.2","557","0.0"
"","MP","7444","0","157.0","95.0","0.6","646","0.0"
"","Maharashtra","18865","0","415.7","123.4","6.2","743","0.0"
"","Goa","407","0","9.0","8.6","0.4","33","0.0"
"","DD","307","0","7.0","6.3","0.7","62","0.0"
"","DNH","714","0","16.6","16.7","-0.1","12","0.0"
"","Essar steel","471","0","8.7","8.4","0.3","167","0.0"
"SR","Andhra Pradesh","7420","0","160","42","3.7","578","0.0"
"","Telangana","9208","0","195","120","-0.6","601","0.0"
"","Karnataka","8688","0","196","71","0.6","504","0.0"
"","Kerala","3426","0","68","52","1.5","473","0.0"
"","Tamil Nadu","13656","0","295","139","-2.1","661","0.0"
"","Pondy","360","0","7","7","-0.1","43","0.0"
"ER","Bihar","4073","0","81.0","77.3","0.4","200","0.0"
"","DVC","2729","0","59.9","-21.8","0.8","220","0.0"
"","Jharkhand","1149","0","21.9","17.5","-1.7","80","0.0"
"","Odisha","4255","0","79.9","24.7","-0.7","250","0.0"
"","West Bengal","8118","0","153.2","65.0","0.2","225","0.0"
"","Sikkim","96","0","1.3","2.0","-0.7","5","0.0"
"NER","Arunachal Pradesh","117","2","1.9","2.2","-0.3","10","0.0"
"","Assam","1670","43","31.0","23.5","2.4","187","1.4"
"","Manipur","149","2","2.1","1.9","0.2","33","0.0"
"","Meghalaya","263","0","5.9","-1.0","0.7","66","0.0"
"","Mizoram","70","1","1.3","1.5","-0.3","11","0.0"
"","Nagaland","110","1","2.0","1.9","-0.1","15","0.0"
"","Tripura","247","2","4.4","3.1","0.8","69","0.0"
