"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","6259","0","140.8","69.1","-1.2","144","0.0"
"","Haryana","6716","0","146.0","115.2","1.2","169","0.0"
"","Rajasthan","9354","0","202.3","65.3","-1.4","227","0.0"
"","Delhi","3731","0","80.2","63.7","-1.0","90","0.0"
"","UP","16580","0","316.4","133.1","1.9","772","2.2"
"","Uttarakhand","1604","0","33.4","13.7","0.5","187","0.0"
"","HP","1315","0","25.6","11.2","0.7","106","0.0"
"","J&K","2202","551","38.6","31.4","-1.8","214","9.2"
"","Chandigarh","173","0","3.2","3.6","-0.3","0","0.0"
"WR","Chhattisgarh","3797","0","87.7","35.0","0.9","297","0.0"
"","Gujarat","14340","0","320.9","61.1","2.9","593","0.0"
"","MP","8218","0","178.2","113.8","-1.5","283","0.0"
"","Maharashtra","18367","0","413.6","145.9","-2.0","380","0.0"
"","Goa","541","0","12.8","10.8","1.4","44","0.0"
"","DD","309","0","7.1","6.5","0.6","47","0.0"
"","DNH","750","0","17.6","17.6","0.0","30","0.0"
"","Essar steel","371","0","7.0","5.6","1.4","352","0.0"
"SR","Andhra Pradesh","7384","0","162.2","74.1","-0.5","672","0.0"
"","Telangana","7465","0","163.9","38.2","-1.7","301","0.0"
"","Karnataka","7540","0","147.2","33.9","-1.2","639","0.0"
"","Kerala","3139","0","62.8","45.9","1.4","192","0.0"
"","Tamil Nadu","12668","0","284.9","149.3","1.1","504","0.0"
"","Pondy","360","0","7.6","7.8","-0.2","33","0.0"
"ER","Bihar","5076","0","92.0","90.3","-2.4","135","0.0"
"","DVC","2849","0","59.2","-13.4","-0.2","320","0.0"
"","Jharkhand","1252","0","24.3","16.0","-1.3","70","0.0"
"","Odisha","4302","0","87.6","15.5","7.3","470","0.0"
"","West Bengal","7091","0","139.1","39.9","2.4","310","0.0"
"","Sikkim","51","0","0.5","1.1","-0.6","15","0.0"
"NER","Arunachal Pradesh","127","2","2.2","2.1","-0.1","82","0.0"
"","Assam","1596","75","28.0","22.1","0.1","129","0.8"
"","Manipur","162","3","2.6","2.3","0.3","21","0.0"
"","Meghalaya","309","0","5.7","1.6","0.3","39","0.0"
"","Mizoram","84","1","1.7","0.5","0.5","73","0.0"
"","Nagaland","126","2","2.1","2.1","-0.3","45","0.0"
"","Tripura","252","1","4.3","2.9","0.1","55","0.0"
