"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","6048","0","130.1","50.3","0.4","117","0.0"
"","Haryana","7074","0","132.7","62.3","3.0","401","2.7"
"","Rajasthan","9276","0","201.9","55.2","3.3","578","0.5"
"","Delhi","4596","0","94.0","75.8","-2.4","129","0.1"
"","UP","16733","20","349.9","116.5","3.8","694","0.0"
"","Uttarakhand","1915","0","38.8","22.7","0.2","66","0.0"
"","HP","1336","0","24.9","13.8","0.2","118","0.0"
"","J&K","1907","477","39.8","31.7","-4.3","230","9.3"
"","Chandigarh","225","0","4.4","4.4","0.1","55","0.0"
"WR","Chhattisgarh","3778","0","87.1","17.3","-2.0","157","0.0"
"","Gujarat","15185","0","343.5","161.5","4.4","452","0.0"
"","MP","8553","0","188.7","96.4","-1.8","441","0.0"
"","Maharashtra","23794","0","507.5","147.5","1.8","405","0.0"
"","Goa","547","0","12.1","11.3","0.2","40","0.0"
"","DD","335","0","6.1","6.7","-0.6","91","0.0"
"","DNH","759","0","17.6","16.9","0.7","63","0.0"
"","Essar steel","172","0","2.7","2.3","0.4","164","0.0"
"SR","Andhra Pradesh","8296","0","173.7","57.0","-0.6","596","0.1"
"","Telangana","7748","0","167.7","58.0","-1.0","546","0.1"
"","Karnataka","9516","0","209.3","68.5","-2.1","364","0.2"
"","Kerala","3689","0","76.5","52.9","1.2","255","0.1"
"","Tamil Nadu","15131","0","350.5","181.6","0.1","324","0.3"
"","Pondy","381","0","8.1","8.5","-0.4","34","0.0"
"ER","Bihar","4626","0","90.0","87.0","0.5","412","0.0"
"","DVC","3112","0","70.4","-60.2","1.2","435","0.0"
"","Jharkhand","1233","0","24.7","17.5","1.5","165","0.0"
"","Odisha","4074","0","84.0","24.1","0.3","444","0.0"
"","West Bengal","8118","0","168.7","53.2","3.4","405","0.0"
"","Sikkim","98","0","1.4","1.6","-0.2","20","0.0"
"NER","Arunachal Pradesh","98","6","1.8","1.9","-0.1","45","0.3"
"","Assam","1031","90","20.8","17.3","1.7","75","3.4"
"","Manipur","165","11","2.1","2.4","-0.2","33","0.0"
"","Meghalaya","262","0","4.4","2.5","-0.1","44","0.0"
"","Mizoram","86","3","1.4","1.4","-0.1","32","0.0"
"","Nagaland","124","4","1.9","2.0","-0.2","25","0.0"
"","Tripura","207","9","3.1","3.5","-0.2","53","0.7"
