"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","6120","0","130.9","29.8","-1.2","93","0.0"
"","Haryana","6933","38","130.0","60.0","2.4","210","2.5"
"","Rajasthan","10045","526","198.3","61.0","1.7","472","0.9"
"","Delhi","3161","0","59.9","46.9","0.2","150","0.0"
"","UP","13436","560","289.7","96.1","1.9","519","3.6"
"","Uttarakhand","1715","0","32.4","23.4","0.4","124","0.0"
"","HP","1380","5","24.8","19.1","1.5","174","0.0"
"","J&K","2020","505","42.3","39.0","-1.3","167","10.0"
"","Chandigarh","156","0","2.8","2.6","0.2","35","0.0"
"WR","Chhattisgarh","3561","0","81.4","22.7","-2.4","71","0.0"
"","Gujarat","14023","0","308.6","165.0","-0.6","308","0.0"
"","MP","9078","0","184.1","93.1","-2.4","329","0.0"
"","Maharashtra","20100","0","440.1","141.8","-0.6","328","0.0"
"","Goa","462","0","9.1","8.6","0.3","40","0.0"
"","DD","307","0","7.1","6.4","0.6","84","0.0"
"","DNH","741","0","17.5","16.9","0.6","52","0.0"
"","Essar steel","519","0","10.7","10.0","0.7","219","0.0"
"SR","Andhra Pradesh","8468","0","171.7","42.4","-1.1","435","0.0"
"","Telangana","9587","0","211.4","113.4","-0.4","450","0.0"
"","Karnataka","10032","0","219.1","84.5","-2.4","481","0.0"
"","Kerala","3506","0","69.6","46.5","1.7","268","0.0"
"","Tamil Nadu","13125","0","288.9","128.7","-1.2","364","0.0"
"","Pondy","309","0","6.7","7.2","-0.5","30","0.0"
"ER","Bihar","4277","0","73.3","66.8","0.9","260","0.0"
"","DVC","2888","0","68.3","-54.0","-2.1","80","0.0"
"","Jharkhand","1132","0","20.6","15.2","2.8","200","0.0"
"","Odisha","4113","0","76.6","27.7","1.8","300","0.0"
"","West Bengal","7287","0","137.3","11.5","1.4","350","0.0"
"","Sikkim","88","0","1.1","1.1","0.0","25","0.0"
"NER","Arunachal Pradesh","99","1","2.0","1.6","0.4","59","0.0"
"","Assam","1290","11","19.6","17.9","-0.7","146","0.5"
"","Manipur","147","6","2.2","2.2","0.0","22","0.0"
"","Meghalaya","299","4","5.0","3.3","-0.3","57","0.0"
"","Mizoram","73","5","1.5","1.2","0.3","34","0.0"
"","Nagaland","93","15","2.4","1.8","0.4","40","0.0"
"","Tripura","219","3","3.8","2.9","0.2","26","0.0"
