"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","10135","0","216.5","110.2","-0.3","160"
"","Haryana","8021","34","159.8","110.6","-1.8","414"
"","Rajasthan","9395","0","200.4","76.2","4.8","606"
"","Delhi","5639","13","110.1","87.7","-0.8","645"
"","UP","12441","3975","284.6","131.3","-0.2","432"
"","Uttarakhand","1800","40","32.7","15.9","-2.9","222"
"","HP","1190","0","24.1","3.3","0.1","149"
"","J&K","1864","466","33.2","19.8","-1.8","185"
"","Chandigarh","285","0","5.7","6.2","0.3","44"
"WR","Chhattisgarh","3259","96","75.1","22.4","0.8","240"
"","Gujarat","12484","0","275.3","55.8","-1.2","431"
"","MP","6118","0","131.1","86.0","-0.8","237"
"","Maharashtra","15336","40","345.6","77.8","2.3","713"
"","Goa","451","0","7.7","8.3","-1.1","0"
"","DD","285","0","6.4","6.4","0.0","165"
"","DNH","708","0","16.3","16.4","-0.1","23"
"","Essar steel","370","0","6.2","7.6","-1.4","88"
"SR","Andhra Pradesh","5130","0","123.4","17.7","8.4","456"
"","Telangana","5078","0","103.0","77.6","-4.3","502"
"","Karnataka","6891","300","138.5","22.7","1.1","483"
"","Kerala","3277","0","57.2","43.1","1.3","226"
"","Tamil Nadu","11592","0","248.3","102.0","-4.2","459"
"","Pondy","317","0","6.7","6.6","0.1","33"
"ER","Bihar","2860","100","61.1","62.2","-1.1","298"
"","DVC","2727","0","62.3","-16.8","2.0","398"
"","Jharkhand","1136","0","20.3","16.0","-1.1","135"
"","Odisha","3492","0","68.3","17.3","1.5","375"
"","West Bengal","6848","0","138.0","42.0","-0.6","315"
"","Sikkim","84","0","1.5","1.2","0.3","15"
"NER","Arunachal Pradesh","89","6","1.2","1.2","0.0","52"
"","Assam","1236","194","25.9","18.1","2.2","215"
"","Manipur","134","6","2.0","1.9","0.1","41"
"","Meghalaya","237","0","4.4","0.7","-0.2","110"
"","Mizoram","64","4","1.1","0.9","0.2","25"
"","Nagaland","100","5","1.7","1.4","0.3","45"
"","Tripura","230","0","3.6","1.1","0.4","64"
