"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","9713","0","213.9","91.9","0.3","251","0.0"
"","Haryana","8417","0","178.5","121.3","1.5","227","0.0"
"","Rajasthan","9415","0","199.7","75.2","0.9","247","0.3"
"","Delhi","5474","0","112.0","87.6","0.6","179","0.0"
"","UP","17366","1250","377.9","172.0","2.5","818","19.7"
"","Uttarakhand","1965","0","41.4","11.9","1.0","183","0.0"
"","HP","1327","0","26.4","5.0","1.1","142","0.0"
"","J&K","1991","498","38.4","18.6","3.4","289","9.1"
"","Chandigarh","266","0","5.3","5.8","-0.5","0","0.0"
"WR","Chhattisgarh","3826","0","87.9","29.6","-5.0","146","0.0"
"","Gujarat","14481","0","322.0","65.7","-2.3","268","0.0"
"","MP","7800","0","172.7","87.1","-0.9","386","0.0"
"","Maharashtra","17974","629","407.5","110.3","2.5","375","10.2"
"","Goa","434","0","9.3","9.3","0.0","81","0.0"
"","DD","329","0","7.3","6.1","1.2","86","0.0"
"","DNH","754","0","17.2","16.2","1.1","124","0.0"
"","Essar steel","320","0","6.4","6.4","0.0","163","0.0"
"SR","Andhra Pradesh","7300","0","154","36","3.1","413","0.0"
"","Telangana","9113","0","193","94","-0.7","473","0.0"
"","Karnataka","7891","0","162","41","4.8","408","0.0"
"","Kerala","3342","0","69","42","1.7","308","0.0"
"","Tamil Nadu","13613","0","284","145","3.6","449","0.0"
"","Pondy","322","0","7","7","0.1","24","0.0"
"ER","Bihar","4424","100","87.4","82.7","-2.1","415","1.2"
"","DVC","2925","0","68.5","-23.7","0.6","385","0.0"
"","Jharkhand","1242","0","24.1","17.5","0.4","145","0.0"
"","Odisha","4043","0","78.4","24.5","2.8","435","0.0"
"","West Bengal","8183","0","154.5","60.5","1.9","456","0.0"
"","Sikkim","99","0","1.5","1.2","0.3","20","0.0"
"NER","Arunachal Pradesh","110","2","2.1","2.7","-0.6","21","0.0"
"","Assam","1581","110","29.6","23.0","2.0","145","2.3"
"","Manipur","145","6","2.0","2.4","-0.4","26","0.1"
"","Meghalaya","296","0","4.3","-1.2","-0.2","47","0.0"
"","Mizoram","78","2","1.3","1.4","-0.2","21","0.0"
"","Nagaland","108","3","2.2","2.0","0.0","27","0.0"
"","Tripura","244","1","4.0","3.6","0.0","75","0.1"
