"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","5329","0","100.4","19.4","-0.5","211","0.0"
"","Haryana","6678","0","111.8","60.7","1.3","265","0.1"
"","Rajasthan","10016","746","209.5","68.9","2.0","468","0.4"
"","Delhi","3736","0","65.3","47.7","-0.6","211","0.0"
"","UP","14375","430","277.6","99.2","0.3","921","0.2"
"","Uttarakhand","2095","0","35.8","28.1","-0.9","161","0.0"
"","HP","1559","5","28.2","22.8","1.3","276","0.0"
"","J&K","2074","519","43.5","41.1","-1.4","85","10.3"
"","Chandigarh","222","0","3.8","3.7","0.1","43","0.0"
"WR","Chhattisgarh","3253","0","72.5","5.3","-0.8","108","0.0"
"","Gujarat","14229","0","303.2","113.5","1.5","471","0.0"
"","MP","9851","0","218.2","117.0","-1.8","565","0.0"
"","Maharashtra","20975","0","425.7","136.2","2.2","556","0.0"
"","Goa","460","0","9.3","8.6","0.0","30","0.0"
"","DD","333","0","7.4","6.8","0.6","76","0.0"
"","DNH","757","0","18.5","16.8","1.7","83","0.0"
"","Essar steel","493","0","10.4","9.4","0.9","177","0.0"
"SR","Andhra Pradesh","8439","0","165.4","45.3","0.3","433","0.2"
"","Telangana","9078","0","179.7","85.1","-0.7","379","0.2"
"","Karnataka","9916","0","210.3","93.5","0.8","569","0.3"
"","Kerala","3514","0","67.0","54.1","0.9","160","0.1"
"","Tamil Nadu","13958","0","291.3","152.4","2.3","640","0.4"
"","Pondy","330","0","6.5","6.9","-0.4","27","0.0"
"ER","Bihar","4287","0","74.5","70.7","-2.7","350","0.0"
"","DVC","3195","0","70.1","-38.3","-2.1","150","0.0"
"","Jharkhand","1202","0","24.9","14.6","0.2","50","0.0"
"","Odisha","4164","0","75.0","19.3","2.4","370","0.0"
"","West Bengal","6353","0","110.1","18.2","3.8","400","0.0"
"","Sikkim","83","0","1.1","1.7","-0.6","0","0.0"
"NER","Arunachal Pradesh","111","2","2.0","1.9","0.1","56","0.0"
"","Assam","1432","18","23.1","19.0","1.2","122","0.2"
"","Manipur","188","2","2.7","2.8","-0.1","14","0.0"
"","Meghalaya","329","0","6.0","3.7","0.1","71","0.0"
"","Mizoram","92","2","1.7","1.2","0.1","5","0.0"
"","Nagaland","112","4","2.0","1.8","0.1","63","0.1"
"","Tripura","226","0","3.7","3.3","0.9","35","0.0"
