"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","4955","0","93.4","21.7","-1.4","193","0.0"
"","Haryana","5877","0","109.3","52.4","2.5","266","0.2"
"","Rajasthan","10851","251","212.7","76.6","3.4","339","0.0"
"","Delhi","3985","0","63.2","50.5","0.5","311","0.0"
"","UP","13321","0","287.9","104.3","0.8","810","0.0"
"","Uttarakhand","2009","0","35.7","28.2","-0.1","102","0.0"
"","HP","1446","31","25.9","21.3","0.6","294","0.4"
"","J&K","2114","529","44.0","42.2","-2.0","30","10.4"
"","Chandigarh","210","0","3.4","3.2","0.2","47","0.0"
"WR","Chhattisgarh","3287","0","70.6","5.2","-2.1","26","0.0"
"","Gujarat","13868","0","288.4","127.6","0.7","467","0.0"
"","MP","11303","0","212.4","130.5","-1.0","344","0.0"
"","Maharashtra","20316","0","403.0","125.9","1.9","232","0.0"
"","Goa","450","0","9.8","8.7","0.5","64","0.0"
"","DD","311","0","6.9","6.2","0.8","99","0.0"
"","DNH","752","0","17.4","16.7","0.8","55","0.0"
"","Essar steel","456","0","10.0","10.2","-0.2","132","0.0"
"SR","Andhra Pradesh","8335","0","164.5","44.8","-1.4","363","0.2"
"","Telangana","8693","0","174.6","69.5","-0.9","589","0.1"
"","Karnataka","9673","0","200.7","93.2","-1.2","405","0.2"
"","Kerala","3124","0","61.4","49.0","1.3","220","0.1"
"","Tamil Nadu","12858","0","265.3","149.5","0.1","405","0.3"
"","Pondy","283","0","5.9","6.5","-0.5","14","0.0"
"ER","Bihar","3990","0","67.7","62.3","-2.2","250","0.0"
"","DVC","3082","0","68.1","-35.5","-1.9","70","0.0"
"","Jharkhand","1052","0","23.8","13.9","-0.3","65","0.0"
"","Odisha","4103","0","80.5","26.0","0.7","380","0.0"
"","West Bengal","5908","0","103.7","12.3","2.7","570","0.0"
"","Sikkim","98","0","1.5","1.6","0.0","4","0.0"
"NER","Arunachal Pradesh","120","4","2.0","1.9","0.1","35","0.0"
"","Assam","1360","15","21.8","18.3","0.9","154","0.3"
"","Manipur","186","2","2.7","2.8","-0.1","14","0.0"
"","Meghalaya","298","0","5.7","3.6","-0.1","47","0.0"
"","Mizoram","93","1","1.7","0.8","0.2","31","0.0"
"","Nagaland","112","2","1.8","1.8","-0.1","41","0.0"
"","Tripura","218","0","3.8","2.6","0.0","62","0.0"
