"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","10228","0","228.7","131.3","-0.5","123.0"
"","Haryana","8304","0","174.5","124.6","0.1","225.0"
"","Rajasthan","5940","0","116.5","48.5","-0.4","254.0"
"","Delhi","4422","0","94.1","82.4","-0.7","138.0"
"","UP","12210","4070","291.2","141.5","0.4","331.0"
"","Uttarakhand","1948","0","41.1","16.4","1.7","232.0"
"","HP","1224","0","26.2","0.5","0.4","58.0"
"","J&K","1697","424","33.3","19.7","0.1","269.0"
"","Chandigarh","314","0","6.2","6.6","-0.4","2.0"
"WR","Chhattisgarh","3416","30","80.0","29.0","3.9","366.5"
"","Gujarat","9725","0","199.3","20.9","-0.6","432.3"
"","MP","6561","0","131.5","83.1","-0.5","558.3"
"","Maharashtra","16639","47","369.6","84.2","-2.2","367.7"
"","Goa","390","0","8.2","6.6","1.1","28.7"
"","DD","291","0","6.6","5.8","0.8","62.7"
"","DNH","675","0","15.6","15.5","0.1","257.2"
"","Essar steel","470","0","8.7","8.0","0.7","125.3"
"SR","Andhra Pradesh","6633","0","150.6","20.6","3.5","528.0"
"","Telangana","6480","0","149.4","97.2","1.5","352.0"
"","Karnataka","8388","500","181.4","18.6","2.4","449.0"
"","Kerala","3331","0","63.0","32.7","1.5","283.0"
"","Tamil Nadu","12277","0","283.2","99.3","-0.4","363.0"
"","Pondy","291","0","6.2","6.2","0.0","94.0"
"ER","Bihar","3191","0","65.7","61.3","2.1","325.0"
"","DVC","2580","0","57.0","-17.0","-1.8","365.0"
"","Jharkhand","1047","0","21.5","13.4","-0.1","145.0"
"","Odisha","4086","0","75.3","17.6","-0.2","435.0"
"","West Bengal","6535","0","125.9","44.1","2.1","425.0"
"","Sikkim","90","0","1.2","1.0","0.2","25.0"
"NER","Arunachal Pradesh","53","5","1.0","1.8","-0.7","21.2"
"","Assam","1268","232","26.5","19.0","3.4","220.4"
"","Manipur","97","6","1.6","2.0","-0.4","35.4"
"","Meghalaya","243","1","4.6","1.7","-0.8","122.1"
"","Mizoram","63","3","1.1","1.0","0.1","29.0"
"","Nagaland","115","3","1.8","1.6","0.1","25.4"
"","Tripura","219","2","2.9","1.4","-0.3","58.1"
