"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4545","0","86.3","37.2","-1.0","182"
"","Haryana","6091","0","104.9","65.0","-0.7","168"
"","Rajasthan","9309","597","203.3","73.3","0.5","199"
"","Delhi","3011","9","56.4","39.4","2.3","308"
"","UP","10173","2025","216.9","107.7","2.5","543"
"","Uttarakhand","1719","75","33.7","25.1","2.3","191"
"","HP","1301","0","22.1","17.8","0.5","106"
"","J&K","1992","498","41.2","31.9","0.4","102"
"","Chandigarh","177","0","3.3","3.0","0.3","38"
"WR","Chhattisgarh","3049","96","65.8","17.9","0.1","168"
"","Gujarat","12398","30","269.2","52.4","-2.2","449"
"","MP","10168","0","220.1","128.3","-0.7","488"
"","Maharashtra","19198","25","404.2","101.2","-0.7","521"
"","Goa","428","0","8.9","7.1","1.3","103"
"","DD","290","0","6.4","6.1","0.3","57"
"","DNH","661","0","14.4","14.8","-0.4","0"
"","Essar steel","281","0","5.6","7.0","-1.3","160"
"SR","Andhra Pradesh","5280","0","108.8","18.7","-1.2","770"
"","Telangana","5821","0","123.4","69.2","0.4","417"
"","Karnataka","7347","800","153.1","25.9","-2.2","313"
"","Kerala","3222","125","61.7","42.4","2.2","501"
"","Tamil Nadu","10894","0","215.3","91.3","-1.2","413"
"","Pondy","267","0","5.4","5.7","-0.2","35"
"ER","Bihar","3180","0","62.6","60.0","0.2","300"
"","DVC","2466","0","57.2","-8.5","-1.2","112"
"","Jharkhand","986","0","23.4","11.6","-0.7","52"
"","Odisha","3753","0","69.7","23.7","2.2","366"
"","West Bengal","6292","0","121.7","28.0","-0.3","154"
"","Sikkim","95","0","1.4","1.1","0.3","39"
"NER","Arunachal Pradesh","113","0","2.0","1.5","0.4","53"
"","Assam","1298","31","21.7","15.5","2.1","274"
"","Manipur","156","0","2.4","2.4","0.0","23"
"","Meghalaya","317","1","5.1","4.2","-0.6","23"
"","Mizoram","87","1","1.3","1.2","0.1","24"
"","Nagaland","108","1","1.5","1.5","0.0","37"
"","Tripura","220","1","3.1","0.7","0.4","46"
