"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","5271","0","99.0","30.1","0.2","163"
"","Haryana","6259","0","114.5","77.6","-0.8","124"
"","Rajasthan","9597","0","213.6","71.7","2.5","293"
"","Delhi","3582","0","60.6","47.0","1.0","281"
"","UP","12980","110","276.7","90.8","0.2","286"
"","Uttarakhand","1813","0","33.1","17.5","-0.3","149"
"","HP","1328","37","25.3","20.4","-0.2","113"
"","J&K","1713","428","36.8","39.2","-6.5","0"
"","Chandigarh","213","0","3.5","3.5","0.0","42"
"WR","Chhattisgarh","3128","0","70.6","7.8","-1.8","80"
"","Gujarat","13057","0","270.6","79.8","-0.7","343"
"","MP","11514","0","217.7","124.6","-2.9","279"
"","Maharashtra","20136","0","403.6","119.9","-2.0","385"
"","Goa","429","0","8.7","7.9","0.1","70"
"","DD","292","0","6.4","6.5","-0.1","20"
"","DNH","714","0","16.1","16.3","-0.2","23"
"","Essar steel","480","0","9.9","10.3","-0.4","127"
"SR","Andhra Pradesh","7006","0","148.3","4.7","4.5","433"
"","Telangana","7704","0","153.1","72.9","2.0","313"
"","Karnataka","9167","200","202.8","59.6","4.6","559"
"","Kerala","3465","0","65.4","55.6","2.4","193"
"","Tamil Nadu","13033","0","278.7","135.5","-1.0","608"
"","Pondy","311","0","6.4","6.6","-0.3","24"
"ER","Bihar","3533","0","62.0","59.7","-2.1","150"
"","DVC","2666","0","62.1","-32.9","-0.3","100"
"","Jharkhand","1126","0","24.4","15.3","1.4","125"
"","Odisha","3950","0","67.8","16.9","2.1","150"
"","West Bengal","6348","0","101.3","22.8","3.0","175"
"","Sikkim","97","0","1.6","1.7","-0.1","12"
"NER","Arunachal Pradesh","134","4","2.1","1.9","0.2","1"
"","Assam","1338","24","20.0","16.1","0.1","225"
"","Manipur","130","2","2.6","2.5","0.1","8"
"","Meghalaya","282","0","4.9","4.7","-0.5","93"
"","Mizoram","82","5","1.6","1.4","0.2","31"
"","Nagaland","103","5","1.9","1.8","0.0","19"
"","Tripura","214","0","2.8","1.4","-0.4","12"
