"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4345","0","108.5","44.6","2.4","278"
"","Haryana","5395","0","99.8","39.6","1.1","289"
"","Rajasthan","7944","0","156.4","80.7","-8.1","0"
"","Delhi","3246","0","61.7","46.6","-2.9","250"
"","UP","11763","215","229.9","99.5","-4.6","292"
"","Uttarakhand","1400","75","28.3","18.4","0.0","192"
"","HP","1180","0","22.3","14.0","0.4","126"
"","J&K","1594","100","34.1","27.3","-0.8","59"
"","Chandigarh","172","0","3.2","3.3","-0.1","27"
"WR","Chhattisgarh","2730","11","57.5","10.3","-2.2","65"
"","Gujarat","10158","3","225.6","30.0","1.3","396"
"","MP","8430","6","182.4","112.3","-6.2","73"
"","Maharashtra","16008","74","355.9","129.6","6.3","405"
"","Goa","348","0","7.1","6.4","0.0","20"
"","DD","206","0","5.1","5.6","-0.5","2"
"","DNH","591","0","14.2","14.2","0.0","10"
"","Essar steel","216","0","4.5","4.4","0.0","51"
"SR","Andhra Pradesh","10260","0","227.2","78.9","1.4","329"
"","Karnataka","7302","300","144.5","23.8","2.0","435"
"","Kerala","2775","75","55.9","35.4","1.0","232"
"","Tamil Nadu","9599","462","201.6","69.8","-2.4","170"
"","Pondy","237","0","4.9","5.5","-0.6","17"
"ER","Bihar","2140","150","43.5","38.9","4.6","120"
"","DVC","2453","0","55.6","-19.7","1.9","410"
"","Jharkhand","931","0","20.2","13.0","-2.2","100"
"","Odisha","3393","0","61.9","4.3","-2.7","350"
"","West Bengal","6395","0","104.2","12.3","1.6","400"
"","Sikkim","91","0","1.3","1.4","-0.1","21"
"NER","Arunachal Pradesh","113","2","1.3","1.3","0.0","64"
"","Assam","1148","92","20.6","13.0","2.0","100"
"","Manipur","119","1","1.4","1.9","-0.5","21"
"","Meghalaya","228","2","4.7","2.7","-0.1","90"
"","Mizoram","58","2","1.2","1.0","0.0","22"
"","Nagaland","93","2","1.4","1.1","0.0","26"
"","Tripura","205","0","3.3","0.6","0.1","37"
