"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4903","0","103.8","72.2","0.1","96"
"","Haryana","5413","0","109.8","86.5","0.8","216"
"","Rajasthan","7027","0","149.1","44.2","-0.5","360"
"","Delhi","3858","0","81.2","62.9","1.4","397"
"","UP","11639","2720","250.6","114.2","2.4","442"
"","Uttarakhand","1561","155","33.4","20.1","0.2","102"
"","HP","1158","10","23.5","7.5","-1.7","69"
"","J&K","1583","100","29.9","17.2","-1.0","168"
"","Chandigarh","211","0","4.2","4.5","-0.2","16"
"WR","Chhattisgarh","2931","71","69.4","14.7","-0.7","105"
"","Gujarat","12777","52","275.5","37.6","-1.5","389"
"","MP","6888","51","142.4","78.6","-2.5","495"
"","Maharashtra","18432","177","412.4","128.7","-1.5","454"
"","Goa","426","3","9.6","8.2","1.2","50"
"","DD","258","2","5.7","5.8","-0.1","34"
"","DNH","644","5","15.2","15.4","-0.2","58"
"","Essar steel","491","3","11.0","11.1","-0.1","33"
"SR","Andhra Pradesh","10830","600","251.9","84.2","3.6","390"
"","Karnataka","8264","500","182.1","24.6","0.9","340"
"","Kerala","3380","150","65.5","34.9","1.6","221"
"","Tamil Nadu","12263","732","274.6","73.3","0.6","349"
"","Pondy","334","0","5.7","6.3","-0.6","48"
"ER","Bihar","2325","0","45.9","43.0","0.0","315"
"","DVC","2445","0","56.3","-12.8","-1.1","289"
"","Jharkhand","800","205","18.4","12.0","1.8","145"
"","Odisha","3581","0","64.6","21.8","-1.4","345"
"","West Bengal","7348","11","144.5","43.4","0.5","495"
"","Sikkim","73","0","1.0","1.3","-0.4","25"
"NER","Arunachal Pradesh","101","3","1.7","1.4","0.3","36"
"","Assam","1040","308","19.4","11.6","2.9","190"
"","Manipur","101","7","1.5","1.5","0.0","17"
"","Meghalaya","267","8","3.7","1.2","0.0","110"
"","Mizoram","64","11","1.0","1.0","-0.2","18"
"","Nagaland","101","1","1.5","1.5","-0.3","35"
"","Tripura","185","33","2.9","1.2","-0.5","33"
