"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","6022","0","118.1","39.3","-2.7","165","0.0"
"","Haryana","7251","0","127.4","91.8","-0.8","309","0.0"
"","Rajasthan","9842","0","205.8","54.2","-2.4","542","0.0"
"","Delhi","4738","0","97.2","80.1","0.4","154","0.1"
"","UP","18338","0","351.0","158.7","1.0","703","0.0"
"","Uttarakhand","1897","0","39.0","17.5","0.2","80","0.0"
"","HP","1163","0","23.2","5.7","0.0","147","0.0"
"","J&K","2052","513","41.6","30.1","1.3","203","10.7"
"","Chandigarh","202","0","4.1","4.6","-0.5","9","0.0"
"WR","Chhattisgarh","4392","0","102.1","47.4","-3.3","381","0.0"
"","Gujarat","17163","0","379.8","100.9","4.6","774","0.0"
"","MP","9361","0","202.9","90.9","-0.8","541","0.0"
"","Maharashtra","22823","0","483.8","142.9","-1.6","750","0.0"
"","Goa","513","0","11.8","11.4","-0.3","69","0.0"
"","DD","331","0","7.5","7.3","0.1","32","0.0"
"","DNH","798","0","18.4","18.5","-0.1","57","0.0"
"","Essar steel","227","0","4.1","5.7","-1.6","170","0.0"
"SR","Andhra Pradesh","8685","0","193.5","66.1","1.7","615","0.0"
"","Telangana","8926","0","195.2","70.7","-3.1","480","0.0"
"","Karnataka","12294","0","243.1","81.5","0.3","615","0.0"
"","Kerala","4166","0","83.0","60.5","1.4","202","0.0"
"","Tamil Nadu","15739","0","352.6","189.0","0.8","839","0.0"
"","Pondy","416","0","8.5","8.7","-0.2","27","0.0"
"ER","Bihar","4929","0","92.8","87.8","1.5","150","0.0"
"","DVC","3218","0","69.9","-43.6","0.2","300","0.0"
"","Jharkhand","1000","0","24.6","19.8","-1.0","100","0.0"
"","Odisha","4316","0","95.1","34.9","1.4","350","0.0"
"","West Bengal","8658","0","171.1","57.1","0.9","200","0.0"
"","Sikkim","96","0","1.2","1.0","0.2","35","0.0"
"NER","Arunachal Pradesh","115","2","2.0","2.3","-0.4","26","0.0"
"","Assam","1267","107","22.3","20.7","-2.5","131","1.3"
"","Manipur","141","3","1.7","2.4","-0.7","14","0.2"
"","Meghalaya","288","30","5.2","4.1","0.0","62","0.4"
"","Mizoram","87","1","1.7","1.5","0.1","25","0.0"
"","Nagaland","119","2","2.0","2.0","-0.1","29","0.0"
"","Tripura","246","0","3.7","3.6","-0.2","94","0.0"
